"Accession" "Drought" "Heat" "Heat.Drought"
"1" "ABR12" 31.4226091459885 36.9367458950634 40.1424563081441
"2" "ABR14" 18.1152006540015 23.5891289540695 23.1066786050644
"3" "ABR2" 13.7921816725031 17.1796947399459 18.9232060687391
"4" "ABR3" 27.2676423815741 30.3107952939224 33.2734466063581
"5" "ABR4" 16.1600798792863 20.0968523856623 22.1919739557243
"6" "ABR5" 15.1028893200093 17.078623468765 18.0503412610835
"7" "ABR6" 21.4951742987176 23.5780939238176 25.0612065306107
"8" "ABR7" 20.2574249640394 24.4862924754131 27.6988575632558
"9" "ABR9" 14.3545802473655 22.1254500810564 22.277222501525
"10" "Adi-1" 19.9553966646466 28.3081294453447 29.2303274737718
"11" "Adi-13" 18.4784839746588 23.5605450486342 26.6051630887192
"12" "Adi-14" 20.8689211009025 25.5784234366045 26.2850900467502
"13" "Adi-15" 19.5850534087658 27.7550829431572 29.6025981776718
"14" "Adi-17" 18.1691313737692 22.9094114836332 25.1340879099137
"15" "Adi-18" 22.2831789841014 27.2680531784666 28.1637006163274
"16" "Adi-2" 16.633254836886 24.1088453042565 25.1269486506245
"17" "Adi-3" 13.3762725168889 21.1753916810923 21.8116287628864
"18" "Adi-4" 17.4468183180069 26.3651170265805 27.5970757029933
"19" "Adi-5" 16.2963098535411 23.6857499014358 25.5429045223344
"20" "Adi-7" 27.6686656824107 36.4226198476586 39.1521257831456
"21" "Adi-8" 14.3454494430006 21.6235035878238 24.9149951446083
"22" "Adi-9" 22.0324038486307 27.1176946619304 28.4467800210306
"23" "Arc1" 18.6192488472953 22.3756964716317 23.6173621792451
"24" "Bd1-1" 10.5783791771566 13.6419027459397 15.1538621090226
"25" "Bd21-0" 20.440041898665 29.8251475735405 31.2674415463762
"26" "Bd21-3" 23.8049268782027 28.6434175063263 30.9014579570475
"27" "BdTR10A" 21.5368628264415 30.3809861584796 32.5148794826637
"28" "BdTR10B" 20.5331759337213 22.4332273654865 26.6186865138497
"29" "BdTR10D" 21.31742865161 28.8632813615763 30.6476952562185
"30" "BdTR10E" 9.98302971883631 13.887811280509 17.4491793497263
"31" "BdTR10H" 22.3619465763212 27.3052364889288 31.540553625267
"32" "BdTR10I" 21.6140171065315 30.1078605142373 31.3628747990188
"33" "BdTR10J" 21.9700439119159 24.4016227040707 26.3780351368633
"34" "BdTR10K" 11.5320466152305 17.2822580260805 20.1621195989301
"35" "BdTR10M" 36.0531064392846 44.6324526619433 45.7470776456935
"36" "BdTR11A" 12.7410139192232 15.0105081205652 15.8556925251459
"37" "BdTR11B" 13.8851267534601 18.373254613475 20.2590079596687
"38" "BdTR11C" 18.2984166493812 23.3813471988762 24.6642574544678
"39" "BdTR11D" 17.6174091291775 21.9369020923636 22.7941084840953
"40" "BdTR11E" 11.6475170584033 13.6648117438614 15.3179721457762
"41" "BdTR11F" 17.2622025371028 19.8621154227322 20.6015521885379
"42" "BdTR11G" 23.2880656929853 24.3849629342653 27.1769275838657
"43" "BdTR11H" 23.5936222653343 28.9819350856305 30.0828845422653
"44" "BdTR11I" 15.0565235428334 19.7502538086355 21.2380376658283
"45" "BdTR12A" 17.1797812674126 22.5097364323608 23.7612632510353
"46" "BdTR12B" 11.9836825001729 14.1252431178825 15.9617923759962
"47" "BdTR13A" 17.0810404643085 19.7321811858443 22.2658666510356
"48" "BdTR13B" 11.9634686481936 16.0474222670772 16.676579191387
"49" "BdTR13C" 18.6563787514591 23.848875453166 25.349628324944
"50" "BdTR13D" 22.0394332800534 24.9149211135896 25.7697449045542
"51" "BdTR13E" 23.2837951608771 22.7513336757963 26.0774932011546
"52" "BdTR13F" 18.0317320871514 20.6501452508018 23.2154922482679
"53" "BdTR13G" 21.8325598925182 26.657641450269 28.2716091969799
"54" "BdTR13H" 15.3352638849912 18.4793202761627 21.7807894434147
"55" "BdTR13J" 18.7648197632092 21.203704501034 23.830127251916
"56" "BdTR13K" 17.4880526780304 20.4145030929405 22.8464056572262
"57" "BdTR13M" 13.069872006052 17.7487018864501 18.1435521977906
"58" "BdTR13N" 23.3744829605769 25.645032959317 28.4196880519254
"59" "BdTR13O" 18.8091316177996 23.6869778596822 24.5840232904222
"60" "BdTR1A" 12.9746899797048 20.2002897571072 18.9040797789376
"61" "BdTR1B" 31.0658976997423 39.5308937054382 41.3186935989622
"62" "BdTR1C" 20.6627831938971 25.3927876168352 27.3877497615932
"63" "BdTR1D" 14.6825130522374 17.1708412972548 20.0510260620066
"64" "BdTR1E" 15.4763744673698 17.7101859510389 22.8103796497168
"65" "BdTR1G" 31.3920714521029 36.5655322743584 37.8380402603551
"66" "BdTR1I" 11.861657129145 18.6522323992709 20.7432238774671
"67" "BdTR1J" 23.7399896693795 24.7912881900475 28.3410777214679
"68" "BdTR1K" 22.3423055179342 27.9916733118878 30.3883291686121
"69" "BdTR1M" 15.9827714533231 23.6076799931705 24.1023815700945
"70" "BdTR1N" 30.5910687582784 34.0043714529567 36.3605155805508
"71" "BdTR2B" 20.6198745141422 22.2313569043306 26.0775547485234
"72" "BdTR2C" 16.4609592021833 26.5100042407002 28.2531021845022
"73" "BdTR2D" 13.9451684013161 15.9419984985371 18.1071775504586
"74" "BdTR2E" 19.9120541530586 23.2215705855515 24.6157152261639
"75" "BdTR2F" 30.191563868858 36.1517267240092 38.3454518885905
"76" "BdTR2G" 21.7645025236811 28.8864100891227 29.1433175869704
"77" "BdTR2H" 14.6615094907492 16.8424858008335 20.350309239564
"78" "BdTR2I" 21.9766869618621 28.3891101963552 30.6665495796846
"79" "BdTR2J" 16.6072520413821 19.385733731241 20.5943549458821
"80" "BdTR2K" 19.3259371784391 28.9107500127136 29.9352645844895
"81" "BdTR2M" 20.2944159064442 24.9070803823225 26.4586871240996
"82" "BdTR2N" 16.3521521448239 22.8993958607153 25.5792542587682
"83" "BdTR2O" 19.0983788246682 23.2572823449501 27.5525966756819
"84" "BdTR2P" 19.3979905451775 27.3728989695326 29.9131121595383
"85" "BdTR2R" 20.1378365077622 24.1901914327396 28.2716992880165
"86" "BdTR2S" 11.2689513335584 13.7726674694479 15.8141880383427
"87" "BdTR3A" 19.8100324967158 24.2409393688187 27.2405923960054
"88" "BdTR3B" 23.5210198301819 28.618356794355 32.2416950317872
"89" "BdTR3I" 22.1538937084894 27.2050811290744 31.3589125675712
"90" "BdTR3M" 21.0501814637215 24.7807652313507 30.5477489207122
"91" "BdTR3N" 18.5089437143868 25.3929216338129 27.2852027048209
"92" "BdTR3O" 17.1290771719045 22.7380006561576 24.5021474120986
"93" "BdTR3P" 20.134169273047 22.3886901325114 26.3430219742915
"94" "BdTR3R" 11.2530046243762 15.7847913829406 18.835054007177
"95" "BdTR3T" 27.2596198819706 32.9021684435878 37.6444045623603
"96" "BdTR5B" 13.5985943848603 17.5950965299304 21.706315491933
"97" "BdTR5E" 17.1679864644468 23.8708449106765 24.5151505158883
"98" "BdTR5G" 21.0855489260628 28.4796839631334 28.286569285507
"99" "BdTR5H" 18.4162697783255 20.1841014341632 22.3097270585248
"100" "BdTR5I" 15.8450467928304 24.9134815847536 27.8432236938505
"101" "BdTR5J" 23.2819140931627 29.2094846635729 30.1574140286749
"102" "BdTR5K" 16.8154031992386 26.6500049432645 27.5740331397888
"103" "BdTR5M" 21.2208163359377 25.4035147044112 28.4046446434298
"104" "BdTR5N" 16.7701253909571 21.2686552557056 21.7715944680891
"105" "BdTR5O" 20.1277804214405 22.3065432662492 25.9013654553846
"106" "BdTR8A" 36.4273846854651 33.1743248320203 39.8868327374446
"107" "BdTR8M" 27.3927113540569 27.639573335348 30.500670987646
"108" "BdTR9A" 14.5324343524314 20.3396022325207 21.2196838464431
"109" "BdTR9G" 24.8238032681094 29.6690467429501 31.087160196957
"110" "BdTR9I" 11.1684582565654 13.9812714317412 18.0061605754156
"111" "BdTR9K" 16.5735283949714 22.9926629471736 24.8407907430842
"112" "Bis-1" 4.58309438689395 10.0385319709854 11.895104094851
"113" "Fon2" 33.0521560764249 40.3690019906535 41.9803992343286
"114" "Gaz-2" 19.3781495174299 22.5218592065902 23.1940946050205
"115" "Gaz-3" 16.959469260981 23.2408894019622 25.545232632123
"116" "Gaz-4" 19.0549617482338 22.3054475676567 23.535591108154
"117" "Gaz-5" 18.8348768256525 24.3488359693266 25.9651975909406
"118" "Gaz-7" 17.0420667748535 23.0602197732578 24.6755704806663
"119" "Gaz-8" 15.3805857543183 18.9952014037491 24.2784119121338
"120" "Kah-2" 12.4477334320301 19.2353957146316 20.8651923484572
"121" "Kah-6" 18.7821560899821 23.7248342852749 26.0986111617631
"122" "Koz-2" 22.8837818747772 27.0789091353793 29.82750218332
"123" "Luc1" 22.4417682443232 25.1829934082115 28.0342299494485
"124" "Mon1" 25.6760964082792 30.0239287672719 33.9532282688168
"125" "Mon3" 14.0866958689719 16.8428273349262 18.4392450097411
"126" "Per1" 17.750039654941 23.363714760598 24.6988205083871
"127" "Sig2" 20.2485856404375 22.6965955949923 27.5234441053573
"128" "Tek-4" 14.7775561168255 17.1172420843755 17.3308756897432
"129" "Tek-5" 24.2000615498913 27.5269176106051 29.8077956054516
