Experiment Code,Plant Species,Barcode,Genotype ID,Treatment 1,Treatment 2,Replicate,Print Info,Description,
B002dr_022315,Brachypodium,Ba139AA0012648,Abi1,NA,100,1,Abi1      100,drought,
B002dr_022315,Brachypodium,Ba139AA0012649,Abi1,NA,100,2,Abi1      100,drought,
B002dr_022315,Brachypodium,Ba139AA0012650,Abi1,NA,100,3,Abi1      100,drought,
B002dr_022315,Brachypodium,Ba139AA0012651,Abi1,NA,100,4,Abi1      100,drought,
B002dr_022315,Brachypodium,Ba139AB0012652,Abi1,NA,20,1,Abi1      20,drought,
B002dr_022315,Brachypodium,Ba139AB0012653,Abi1,NA,20,2,Abi1      20,drought,
B002dr_022315,Brachypodium,Ba139AB0012654,Abi1,NA,20,3,Abi1      20,drought,
B002dr_022315,Brachypodium,Ba131AA0012655,ABR12,NA,100,1,ABR12     100,drought,
B002dr_022315,Brachypodium,Ba131AA0012656,ABR12,NA,100,2,ABR12     100,drought,
B002dr_022315,Brachypodium,Ba131AA0012657,ABR12,NA,100,3,ABR12     100,drought,
B002dr_022315,Brachypodium,Ba131AA0012658,ABR12,NA,100,4,ABR12     100,drought,
B002dr_022315,Brachypodium,Ba131AB0012659,ABR12,NA,20,1,ABR12     20,drought,
B002dr_022315,Brachypodium,Ba131AB0012660,ABR12,NA,20,2,ABR12     20,drought,
B002dr_022315,Brachypodium,Ba131AB0012661,ABR12,NA,20,3,ABR12     20,drought,
B002dr_022315,Brachypodium,Ba132AA0012662,ABR14,NA,100,1,ABR14     100,drought,
B002dr_022315,Brachypodium,Ba132AA0012663,ABR14,NA,100,2,ABR14     100,drought,
B002dr_022315,Brachypodium,Ba132AA0012664,ABR14,NA,100,3,ABR14     100,drought,
B002dr_022315,Brachypodium,Ba132AA0012665,ABR14,NA,100,4,ABR14     100,drought,
B002dr_022315,Brachypodium,Ba132AB0012666,ABR14,NA,20,1,ABR14     20,drought,
B002dr_022315,Brachypodium,Ba132AB0012667,ABR14,NA,20,2,ABR14     20,drought,
B002dr_022315,Brachypodium,Ba132AB0012668,ABR14,NA,20,3,ABR14     20,drought,
B002dr_022315,Brachypodium,Ba124AA0012669,ABR2,NA,100,1,ABR2      100,drought,
B002dr_022315,Brachypodium,Ba124AA0012670,ABR2,NA,100,2,ABR2      100,drought,
B002dr_022315,Brachypodium,Ba124AA0012671,ABR2,NA,100,3,ABR2      100,drought,
B002dr_022315,Brachypodium,Ba124AA0012672,ABR2,NA,100,4,ABR2      100,drought,
B002dr_022315,Brachypodium,Ba124AB0012673,ABR2,NA,20,1,ABR2      20,drought,
B002dr_022315,Brachypodium,Ba124AB0012674,ABR2,NA,20,2,ABR2      20,drought,
B002dr_022315,Brachypodium,Ba124AB0012675,ABR2,NA,20,3,ABR2      20,drought,
B002dr_022315,Brachypodium,Ba125AA0012676,ABR3,NA,100,1,ABR3      100,drought,
B002dr_022315,Brachypodium,Ba125AA0012677,ABR3,NA,100,2,ABR3      100,drought,
B002dr_022315,Brachypodium,Ba125AA0012678,ABR3,NA,100,3,ABR3      100,drought,
B002dr_022315,Brachypodium,Ba125AA0012679,ABR3,NA,100,4,ABR3      100,drought,
B002dr_022315,Brachypodium,Ba125AB0012680,ABR3,NA,20,1,ABR3      20,drought,
B002dr_022315,Brachypodium,Ba125AB0012681,ABR3,NA,20,2,ABR3      20,drought,
B002dr_022315,Brachypodium,Ba125AB0012682,ABR3,NA,20,3,ABR3      20,drought,
B002dr_022315,Brachypodium,Ba126AA0012683,ABR4,NA,100,1,ABR4      100,drought,
B002dr_022315,Brachypodium,Ba126AA0012684,ABR4,NA,100,2,ABR4      100,drought,
B002dr_022315,Brachypodium,Ba126AA0012685,ABR4,NA,100,3,ABR4      100,drought,
B002dr_022315,Brachypodium,Ba126AA0012686,ABR4,NA,100,4,ABR4      100,drought,
B002dr_022315,Brachypodium,Ba126AB0012687,ABR4,NA,20,1,ABR4      20,drought,
B002dr_022315,Brachypodium,Ba126AB0012688,ABR4,NA,20,2,ABR4      20,drought,
B002dr_022315,Brachypodium,Ba126AB0012689,ABR4,NA,20,3,ABR4      20,drought,
B002dr_022315,Brachypodium,Ba127AA0012690,ABR5,NA,100,1,ABR5      100,drought,
B002dr_022315,Brachypodium,Ba127AA0012691,ABR5,NA,100,2,ABR5      100,drought,
B002dr_022315,Brachypodium,Ba127AA0012692,ABR5,NA,100,3,ABR5      100,drought,
B002dr_022315,Brachypodium,Ba127AA0012693,ABR5,NA,100,4,ABR5      100,drought,
B002dr_022315,Brachypodium,Ba127AB0012694,ABR5,NA,20,1,ABR5      20,drought,
B002dr_022315,Brachypodium,Ba127AB0012695,ABR5,NA,20,2,ABR5      20,drought,
B002dr_022315,Brachypodium,Ba127AB0012696,ABR5,NA,20,3,ABR5      20,drought,
B002dr_022315,Brachypodium,Ba128AA0012697,ABR6,NA,100,1,ABR6      100,drought,
