Experiment Code,Barcode,Sort,Plant Species,Genotype ID,Treatment 1,Treatment 2,Replicate,Print Info,Description,
B001dr_081214,Ba001AA008153,8153,Brachypodium,Bd1-1,NA,100,1,Bd1-1 100,"drought,heat",
B001dr_081214,Ba002AA008154,8154,Brachypodium,Adi-1,NA,100,1,Adi-1 100,"drought,heat",
B001dr_081214,Ba003AA008155,8155,Brachypodium,Adi-2,NA,100,1,Adi-2 100,"drought,heat",
B001dr_081214,Ba004AA008156,8156,Brachypodium,Adi-3,NA,100,1,Adi-3 100,"drought,heat",
B001dr_081214,Ba005AA008157,8157,Brachypodium,Adi-4,NA,100,1,Adi-4 100,"drought,heat",
B001dr_081214,Ba006AA008158,8158,Brachypodium,Adi-5,NA,100,1,Adi-5 100,"drought,heat",
B001dr_081214,Ba007AA008159,8159,Brachypodium,Adi-7,NA,100,1,Adi-7 100,"drought,heat",
B001dr_081214,Ba008AA008160,8160,Brachypodium,Adi-8,NA,100,1,Adi-8 100,"drought,heat",
B001dr_081214,Ba009AA008161,8161,Brachypodium,Adi-9,NA,100,1,Adi-9 100,"drought,heat",
B001dr_081214,Ba010AA008162,8162,Brachypodium,Adi-13,NA,100,1,Adi-13  100,"drought,heat",
B001dr_081214,Ba011AA008163,8163,Brachypodium,Adi-14,NA,100,1,Adi-14  100,"drought,heat",
B001dr_081214,Ba012AA008164,8164,Brachypodium,Adi-15,NA,100,1,Adi-15  100,"drought,heat",
B001dr_081214,Ba013AA008165,8165,Brachypodium,Adi-17,NA,100,1,Adi-17  100,"drought,heat",
B001dr_081214,Ba014AA008166,8166,Brachypodium,Adi-18,NA,100,1,Adi-18  100,"drought,heat",
B001dr_081214,Ba015AA008167,8167,Brachypodium,Bis-1,NA,100,1,Bis-1 100,"drought,heat",
B001dr_081214,Ba016AA008168,8168,Brachypodium,Gaz-2,NA,100,1,Gaz-2 100,"drought,heat",
B001dr_081214,Ba017AA008169,8169,Brachypodium,Gaz-3,NA,100,1,Gaz-3 100,"drought,heat",
B001dr_081214,Ba018AA008170,8170,Brachypodium,Gaz-4,NA,100,1,Gaz-4 100,"drought,heat",
B001dr_081214,Ba019AA008171,8171,Brachypodium,Gaz-5,NA,100,1,Gaz-5 100,"drought,heat",
B001dr_081214,Ba020AA008172,8172,Brachypodium,Gaz-7,NA,100,1,Gaz-7 100,"drought,heat",
B001dr_081214,Ba021AA008173,8173,Brachypodium,Gaz-8,NA,100,1,Gaz-8 100,"drought,heat",
B001dr_081214,Ba022AA008174,8174,Brachypodium,Kah-2,NA,100,1,Kah-2 100,"drought,heat",
B001dr_081214,Ba023AA008175,8175,Brachypodium,Kah-3,NA,100,1,Kah-3 100,"drought,heat",
B001dr_081214,Ba024AA008176,8176,Brachypodium,Kah-6,NA,100,1,Kah-6 100,"drought,heat",
B001dr_081214,Ba025AA008177,8177,Brachypodium,Koz-2,NA,100,1,Koz-2 100,"drought,heat",
B001dr_081214,Ba026AA008178,8178,Brachypodium,Koz-3,NA,100,1,Koz-3 100,"drought,heat",
B001dr_081214,Ba027AA008179,8179,Brachypodium,Koz-5,NA,100,1,Koz-5 100,"drought,heat",
B001dr_081214,Ba028AA008180,8180,Brachypodium,Tek-4,NA,100,1,Tek-4 100,"drought,heat",
B001dr_081214,Ba029AA008181,8181,Brachypodium,Tek-5,NA,100,1,Tek-5 100,"drought,heat",
B001dr_081214,Ba030AA008182,8182,Brachypodium,BdTR1A,NA,100,1,BdTR1A  100,"drought,heat",
B001dr_081214,Ba031AA008183,8183,Brachypodium,BdTR1B,NA,100,1,BdTR1B  100,"drought,heat",
B001dr_081214,Ba032AA008184,8184,Brachypodium,BdTR1C,NA,100,1,BdTR1C  100,"drought,heat",
B001dr_081214,Ba033AA008185,8185,Brachypodium,BdTR1D,NA,100,1,BdTR1D  100,"drought,heat",
B001dr_081214,Ba034AA008186,8186,Brachypodium,BdTR1E,NA,100,1,BdTR1E  100,"drought,heat",
B001dr_081214,Ba035AA008187,8187,Brachypodium,BdTR1F,NA,100,1,BdTR1F  100,"drought,heat",
B001dr_081214,Ba036AA008188,8188,Brachypodium,BdTR1G,NA,100,1,BdTR1G  100,"drought,heat",
B001dr_081214,Ba037AA008189,8189,Brachypodium,BdTR1H,NA,100,1,BdTR1H  100,"drought,heat",
B001dr_081214,Ba038AA008190,8190,Brachypodium,BdTR1I,NA,100,1,BdTR1I  100,"drought,heat",
B001dr_081214,Ba039AA008191,8191,Brachypodium,BdTR1J,NA,100,1,BdTR1J  100,"drought,heat",
B001dr_081214,Ba040AA008192,8192,Brachypodium,BdTR1K,NA,100,1,BdTR1K  100,"drought,heat",
B001dr_081214,Ba041AA008193,8193,Brachypodium,BdTR1M,NA,100,1,BdTR1M  100,"drought,heat",
B001dr_081214,Ba042AA008194,8194,Brachypodium,BdTR1N,NA,100,1,BdTR1N  100,"drought,heat",
B001dr_081214,Ba043AA008195,8195,Brachypodium,BdTR2B,NA,100,1,BdTR2B  100,"drought,heat",
B001dr_081214,Ba044AA008196,8196,Brachypodium,BdTR2C,NA,100,1,BdTR2C  100,"drought,heat",
B001dr_081214,Ba045AA008197,8197,Brachypodium,BdTR2D,NA,100,1,BdTR2D  100,"drought,heat",
B001dr_081214,Ba046AA008198,8198,Brachypodium,BdTR2E,NA,100,1,BdTR2E  100,"drought,heat",
B001dr_081214,Ba047AA008199,8199,Brachypodium,BdTR2F,NA,100,1,BdTR2F  100,"drought,heat",
B001dr_081214,Ba048AA008200,8200,Brachypodium,BdTR2G,NA,100,1,BdTR2G  100,"drought,heat",
B001dr_081214,Ba049AA008201,8201,Brachypodium,BdTR2H,NA,100,1,BdTR2H  100,"drought,heat",
B001dr_081214,Ba050AA008202,8202,Brachypodium,BdTR2I,NA,100,1,BdTR2I  100,"drought,heat",
B001dr_081214,Ba051AA008203,8203,Brachypodium,BdTR2J,NA,100,1,BdTR2J  100,"drought,heat",
B001dr_081214,Ba052AA008204,8204,Brachypodium,BdTR2K,NA,100,1,BdTR2K  100,"drought,heat",
B001dr_081214,Ba053AA008205,8205,Brachypodium,BdTR2M,NA,100,1,BdTR2M  100,"drought,heat",
B001dr_081214,Ba054AA008206,8206,Brachypodium,BdTR2N,NA,100,1,BdTR2N  100,"drought,heat",
B001dr_081214,Ba055AA008207,8207,Brachypodium,BdTR2O,NA,100,1,BdTR2O  100,"drought,heat",
B001dr_081214,Ba056AA008208,8208,Brachypodium,BdTR2P,NA,100,1,BdTR2P  100,"drought,heat",
B001dr_081214,Ba057AA008209,8209,Brachypodium,BdTR2R,NA,100,1,BdTR2R  100,"drought,heat",
B001dr_081214,Ba058AA008210,8210,Brachypodium,BdTR2S,NA,100,1,BdTR2S  100,"drought,heat",
B001dr_081214,Ba059AA008211,8211,Brachypodium,BdTR3A,NA,100,1,BdTR3A  100,"drought,heat",
B001dr_081214,Ba060AA008212,8212,Brachypodium,BdTR3B,NA,100,1,BdTR3B  100,"drought,heat",
B001dr_081214,Ba061AA008213,8213,Brachypodium,BdTR3F,NA,100,1,BdTR3F  100,"drought,heat",
B001dr_081214,Ba062AA008214,8214,Brachypodium,BdTR3H,NA,100,1,BdTR3H  100,"drought,heat",
B001dr_081214,Ba063AA008215,8215,Brachypodium,BdTR3I,NA,100,1,BdTR3I  100,"drought,heat",
B001dr_081214,Ba064AA008216,8216,Brachypodium,BdTR3M,NA,100,1,BdTR3M  100,"drought,heat",
B001dr_081214,Ba065AA008217,8217,Brachypodium,BdTR3N,NA,100,1,BdTR3N  100,"drought,heat",
B001dr_081214,Ba066AA008218,8218,Brachypodium,BdTR3O,NA,100,1,BdTR3O  100,"drought,heat",
B001dr_081214,Ba067AA008219,8219,Brachypodium,BdTR3P,NA,100,1,BdTR3P  100,"drought,heat",
B001dr_081214,Ba068AA008220,8220,Brachypodium,BdTR3R,NA,100,1,BdTR3R  100,"drought,heat",
B001dr_081214,Ba069AA008221,8221,Brachypodium,BdTR3S,NA,100,1,BdTR3S  100,"drought,heat",
B001dr_081214,Ba070AA008222,8222,Brachypodium,BdTR3T,NA,100,1,BdTR3T  100,"drought,heat",
B001dr_081214,Ba071AA008223,8223,Brachypodium,BdTR5A,NA,100,1,BdTR5A  100,"drought,heat",
B001dr_081214,Ba072AA008224,8224,Brachypodium,BdTR5B,NA,100,1,BdTR5B  100,"drought,heat",
B001dr_081214,Ba073AA008225,8225,Brachypodium,BdTR5E,NA,100,1,BdTR5E  100,"drought,heat",
B001dr_081214,Ba074AA008226,8226,Brachypodium,BdTR5G,NA,100,1,BdTR5G  100,"drought,heat",
B001dr_081214,Ba075AA008227,8227,Brachypodium,BdTR5H,NA,100,1,BdTR5H  100,"drought,heat",
B001dr_081214,Ba076AA008228,8228,Brachypodium,BdTR5I,NA,100,1,BdTR5I  100,"drought,heat",
B001dr_081214,Ba077AA008229,8229,Brachypodium,BdTR5J,NA,100,1,BdTR5J  100,"drought,heat",
B001dr_081214,Ba078AA008230,8230,Brachypodium,BdTR5K,NA,100,1,BdTR5K  100,"drought,heat",
B001dr_081214,Ba079AA008231,8231,Brachypodium,BdTR5M,NA,100,1,BdTR5M  100,"drought,heat",
B001dr_081214,Ba080AA008232,8232,Brachypodium,BdTR5N,NA,100,1,BdTR5N  100,"drought,heat",
B001dr_081214,Ba081AA008233,8233,Brachypodium,BdTR5O,NA,100,1,BdTR5O  100,"drought,heat",
B001dr_081214,Ba082AA008234,8234,Brachypodium,BdTR8A,NA,100,1,BdTR8A  100,"drought,heat",
B001dr_081214,Ba083AA008235,8235,Brachypodium,BdTR8M,NA,100,1,BdTR8M  100,"drought,heat",
B001dr_081214,Ba084AA008236,8236,Brachypodium,BdTR8N,NA,100,1,BdTR8N  100,"drought,heat",
B001dr_081214,Ba085AA008237,8237,Brachypodium,BdTR9A,NA,100,1,BdTR9A  100,"drought,heat",
B001dr_081214,Ba086AA008238,8238,Brachypodium,BdTR9E,NA,100,1,BdTR9E  100,"drought,heat",
B001dr_081214,Ba087AA008239,8239,Brachypodium,BdTR9G,NA,100,1,BdTR9G  100,"drought,heat",
B001dr_081214,Ba088AA008240,8240,Brachypodium,BdTR9I,NA,100,1,BdTR9I  100,"drought,heat",
B001dr_081214,Ba089AA008241,8241,Brachypodium,BdTR9K,NA,100,1,BdTR9K  100,"drought,heat",
B001dr_081214,Ba090AA008242,8242,Brachypodium,BdTR10A,NA,100,1,BdTR10A   100,"drought,heat",
B001dr_081214,Ba091AA008243,8243,Brachypodium,BdTR10B,NA,100,1,BdTR10B   100,"drought,heat",
B001dr_081214,Ba092AA008244,8244,Brachypodium,BdTR10C,NA,100,1,BdTR10C   100,"drought,heat",
B001dr_081214,Ba093AA008245,8245,Brachypodium,BdTR10D,NA,100,1,BdTR10D   100,"drought,heat",
B001dr_081214,Ba094AA008246,8246,Brachypodium,BdTR10E,NA,100,1,BdTR10E   100,"drought,heat",
B001dr_081214,Ba095AA008247,8247,Brachypodium,BdTR10H,NA,100,1,BdTR10H   100,"drought,heat",
B001dr_081214,Ba096AA008248,8248,Brachypodium,BdTR10I,NA,100,1,BdTR10I   100,"drought,heat",
B001dr_081214,Ba097AA008249,8249,Brachypodium,BdTR10J,NA,100,1,BdTR10J   100,"drought,heat",
