Mockler Lab Box ID,Genotype,Collection_location,Ploidy,Latitude (DMS),Longitude (DMS),Latitude,Longitude,Elevation,Citation,For seeds contact,,,,,,,,,,
1,Bd1-1,Turkey,diploid,39°11'N,27°37'E,39.183333,27.616667,165,1,David Garvin (David.Garvin@ars.usda.gov),"5642395: 39.18750,27.60417",lat/long from Des Marais et al 2017,https://www.latlong.net/degrees-minutes-seconds-to-decimal-degrees,,,,,,,
2,Bd2-3,Iraq,diploid,na,na,,,na,1,David Garvin (David.Garvin@ars.usda.gov),,,https://www.advancedconverter.com/map-tools/find-altitude-by-coordinates,,,,,,,
3,Bd3-1,Iraq,diploid,"34°0'0""N","43°46'0""E",34.000000,43.766667,61,1,David Garvin (David.Garvin@ars.usda.gov),"NA, closest was 28 or 39 for lat",lat/long from https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1159883,,,,,,,,
4,Bd3-2,Iraq,diploid,na,na,,,na,1,David Garvin (David.Garvin@ars.usda.gov),,,,,,,,,,
5,Bd18-1,Turkey,diploid,na,na,,,na,1,David Garvin (David.Garvin@ars.usda.gov),,"Kaman Kirschir Province, https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1189518 ",,,,,,,,
6,Bd21-0,Iraq,diploid,"36°11'28""N","44°0'33""E",36.191111,44.009167,424,1,David Garvin (David.Garvin@ars.usda.gov),"NA, closest was 28 or 39 for lat",lat/long from Des Marais et al 2017,,,,,,,,
7,Bd21-3,Iraq,diploid,"36°11'28""N","44°0'33""E",36.191111,44.009167,424,2,John Vogel (John.Vogel@ars.usda.gov),"NA, closest was 28 or 39 for lat",lat/long from Des Marais et al 2017,,,,,,,,
8,Bd29-1,Ukraine,diploid,na,na,,,na,1,David Garvin (David.Garvin@ars.usda.gov),,,,,,,,,,
9,Bd30-1,Spain,diploid,37°4'N,03°36'W,37.066667,-3.600000,923,1,David Garvin (David.Garvin@ars.usda.gov),,lat/long from Des Marais et al 2017,,,,,,,,
10,Adi-1,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
11,Adi-2,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
12,Adi-3,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
13,Adi-4,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
14,Adi-5,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
15,Adi-6,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
16,Adi-7,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
17,Adi-8,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
18,Adi-9,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
19,Adi-10,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
20,Adi-11,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
21,Adi-12,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
22,Adi-13,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
23,Adi-14,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
24,Adi-15,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
25,Adi-16,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
26,Adi-17,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
27,Adi-18,"Adiyaman, Turkey",diploid,"37° 46' 14.5""N","38° 21' 8.2""E",37.770556,38.352222,510,3,John Vogel (John.Vogel@ars.usda.gov),"4690477: 37.77083, 38.35417",,,,,,,,,
28,Bis-1,"Bismil, Turkey",diploid,"37° 52' 35.6""N","41° 0' 54.3""E",37.876389,41.015000,529,3,John Vogel (John.Vogel@ars.usda.gov),,,,,,,,,,
29,Gaz-1,"Gaziantep, Turkey",diploid,"37° 7' 39.8""N","37° 23' 26.9""E",37.127778,37.390833,891,3,John Vogel (John.Vogel@ars.usda.gov),"4776636: 37.14583,37.39583",,,,,,,,,
30,Gaz-2,"Gaziantep, Turkey",diploid,"37° 7' 39.8""N","37° 23' 26.9""E",37.127778,37.390833,891,3,John Vogel (John.Vogel@ars.usda.gov),"4776636: 37.14583,37.39583",,,,,,,,,
31,Gaz-3,"Gaziantep, Turkey",diploid,"37° 7' 39.8""N","37° 23' 26.9""E",37.127778,37.390833,891,3,John Vogel (John.Vogel@ars.usda.gov),"4776636: 37.14583,37.39583",,,,,,,,,
32,Gaz-4,"Gaziantep, Turkey",diploid,"37° 7' 39.8""N","37° 23' 26.9""E",37.127778,37.390833,891,3,John Vogel (John.Vogel@ars.usda.gov),"4776636: 37.14583,37.39583",,,,,,,,,
33,Gaz-5,"Gaziantep, Turkey",diploid,"37° 7' 39.8""N","37° 23' 26.9""E",37.127778,37.390833,891,3,John Vogel (John.Vogel@ars.usda.gov),"4776636: 37.14583,37.39583",,,,,,,,,
34,Gaz-6,"Gaziantep, Turkey",diploid,"37° 7' 39.8""N","37° 23' 26.9""E",37.127778,37.390833,891,3,John Vogel (John.Vogel@ars.usda.gov),"4776636: 37.14583,37.39583",,,,,,,,,
35,Gaz-7,"Gaziantep, Turkey",diploid,"37° 7' 39.8""N","37° 23' 26.9""E",37.127778,37.390833,891,3,John Vogel (John.Vogel@ars.usda.gov),"4776636: 37.14583,37.39583",,,,,,,,,
36,Gaz-8,"Gaziantep, Turkey",diploid,"37° 7' 39.8""N","37° 23' 26.9""E",37.127778,37.390833,891,3,John Vogel (John.Vogel@ars.usda.gov),"4776636: 37.14583,37.39583",,,,,,,,,
37,Gaz-9,"Gaziantep, Turkey",diploid,"37° 7' 39.8""N","37° 23' 26.9""E",37.127778,37.390833,891,3,John Vogel (John.Vogel@ars.usda.gov),"4776636: 37.14583,37.39583",,,,,,,,,
38,Kah-1,"Kahta, Turkey",diploid,"37° 44' 2.3""N","38° 32' 0.2""E",37.733889,38.533333,665,3,John Vogel (John.Vogel@ars.usda.gov),"4675560: 37.72917,38.52083",,,,,,,,,
39,Kah-2,"Kahta, Turkey",diploid,"37° 44' 2.3""N","38° 32' 0.2""E",37.733889,38.533333,665,3,John Vogel (John.Vogel@ars.usda.gov),"4675560: 37.72917,38.52083",,,,,,,,,
