BArcode,name,fw
Ba029AB0013681,Tek-5,0.4084
Ba029AB0013682,Tek-5,0.3501
Ba029AA0013679,Tek-5,2.2667
Ba028AB0013673,Tek-4,0.2759
Ba028AB0013675,Tek-4,0.6125
Ba028AA0013671,Tek-4,1.4018
Ba025AA0013620,Koz-2,2.5441
Ba025AB0013625,Koz-2,0.8241
Ba025AB0013626,Koz-2,0.7118
Ba024AB0013619,Kah-6,0.3276
Ba024AB0013617,Kah-6,0.4926
Ba024AA0013614,Kah-6,2.0755
Ba022AB0013611,Kah-2,0.5141
Ba022AB0013610,Kah-2,0.6359
Ba022AA0013609,Kah-2,1.8702
Ba021AA0013599,Gaz-8,1.2936
Ba021AB0013604,Gaz-8,0.5582
Ba021AB0013603,Gaz-8,0.6158
Ba020AA0013595,Gaz-7,1.5927
Ba020AB0013597,Gaz-7,0.4702
Ba020AB0013598,Gaz-7,0.7579
Ba019AB0013591,Gaz-5,0.5755
Ba019AB0013590,Gaz-5,0.5892
Ba019AA0013585,Gaz-5,1.8905
Ba018AA0013580,Gaz-4,2.0502
Ba018AB0013583,Gaz-4,0.5041
Ba018AB0013582,Gaz-4,0.6199
Ba017AB0013576,Gaz-3,0.8051
Ba017AB0013575,Gaz-3,0.9879
Ba017AA0013574,Gaz-3,1.8972
Ba016AB0013570,Gaz-2,0.239
Ba016AB0013569,Gaz-2,0.2871
Ba016AA0013565,Gaz-2,1.9388
Ba089AB0013547,BdTR9K,0.5592
Ba148AA0013691,BdTR9H,2.7999
Ba148AB0013695,BdTR9H,0.5431
Ba148AB0013694,BdTR9H,0.8298
Ba087AB0013533,BdTR9g,0.8238
Ba087AB0013534,BdTR9g,0.3808
Ba087AA0013531,BdTR9G,2.0138
Ba085AA0013522,BdTR9A,1.4645
Ba083AB0013520,BdTR8M,0.3139
Ba083AB0013521,BdTR8M,0.5238
Ba083AA0013517,BdTR8M,2.3777
Ba082AB0013514,BdTR8A,0.4204
Ba082AB0013513,BdTR8A,0.5857
Ba081AA0013501,BdTR5O,1.5869
Ba081AB0013507,BdTR5O,0.4785
Ba081AB0013505,BFTR5O,0.289
Ba080AB0013499,BdTR5N,0.3445
Ba080AA0013495,BdTR5N,0.0985
Ba079AB0013493,BdTR5M,0.4425
Ba079AA0013488,BdTR5M,2.0024
Ba078AB0013486,BdTR5K,0.8319
Ba078AA0013481,BdTR5K,1.49
Ba077AA0013475,BdTR5J,1.8535
Ba077AB0013477,BdTR5J,0.627
Ba077AB0013479,BdTR5J,0.5695
Ba077AA0013473,BdTR5J,2.292
Ba076AB0013472,BdTR5I,0.5899
