"","Accession","Country","Latitude","Longitude","Elevation","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","euclid"
"1","Bd1-1","Turkey",39.183333,27.616667,162,153,120,38,7130,327,15,312,64,241,245,64,653,126,8,68,314,34,35,314,0.00589208510531772
"2","Bd21-0","Iraq",36.191111,44.009167,428,202,140,35,9331,420,24,396,95,321,321,84,543,112,0,90,300,0,0,290,0.00491408282388771
"3","Bd21-3","Iraq",36.191111,44.009167,428,202,140,35,9331,420,24,396,95,321,321,84,543,112,0,90,300,0,0,290,0.00491408282388771
"4","Adi-1","Turkey",37.770556,38.352222,510,174,112,30,9025,377,12,365,60,290,290,60,631,124,1,80,328,8,10,328,0.0019643426947309
"5","Adi-2","Turkey",37.770556,38.352222,510,174,112,30,9025,377,12,365,60,290,290,60,631,124,1,80,328,8,10,328,0.0019643426947309
"6","Adi-3","Turkey",37.770556,38.352222,510,174,112,30,9025,377,12,365,60,290,290,60,631,124,1,80,328,8,10,328,0.0019643426947309
"7","Adi-4","Turkey",37.770556,38.352222,510,174,112,30,9025,377,12,365,60,290,290,60,631,124,1,80,328,8,10,328,0.0019643426947309
"8","Adi-5","Turkey",37.770556,38.352222,510,174,112,30,9025,377,12,365,60,290,290,60,631,124,1,80,328,8,10,328,0.0019643426947309
"9","Adi-7","Turkey",37.770556,38.352222,510,174,112,30,9025,377,12,365,60,290,290,60,631,124,1,80,328,8,10,328,0.0019643426947309
"10","Adi-8","Turkey",37.770556,38.352222,510,174,112,30,9025,377,12,365,60,290,290,60,631,124,1,80,328,8,10,328,0.0019643426947309
"11","Adi-9","Turkey",37.770556,38.352222,510,174,112,30,9025,377,12,365,60,290,290,60,631,124,1,80,328,8,10,328,0.0019643426947309
"12","Adi-13","Turkey",37.770556,38.352222,510,174,112,30,9025,377,12,365,60,290,290,60,631,124,1,80,328,8,10,328,0.0019643426947309
"13","Adi-14","Turkey",37.770556,38.352222,510,174,112,30,9025,377,12,365,60,290,290,60,631,124,1,80,328,8,10,328,0.0019643426947309
