Barcode,Name,fw,dw
Ba001AA008153,Bd1-1,0.0651,0.0469
Ba001AA008447,Bd1-1,0.1208,0.0699
Ba001AA008594,Bd1-1,0.0501,0.0418
Ba001AB008741,Bd1-1,0.1669,0.0451
Ba001AB009035,Bd1-1,0.2041,0.0531
Ba002AA008301,Adi-1,0.0694,0.0485
Ba002AA008448,Adi-1,0.1043,0.0701
Ba002AA008595,Adi-1,0.1028,0.0696
Ba002Ab008889,Adi-1,0.1906,0.0506
Ba002AB009036,Adi-1,0.2375,0.0613
Ba003AA008155,Adi-2,0.0968,0.0657
Ba003AA008302,Adi-2,0.0724,0.0533
Ba003AA008449,Adi-2,0.1079,0.0701
Ba003AA008596,Adi-2,0.4008,0.137
Ba004AA008156,Adi-3,0.1388,0.0934
Ba004Ab008891,Adi-3,0.2118,0.0497
Ba004AB009038,Adi-3,0.3122,0.0832
Ba005AA008304,Adi-4,0.1582,0.0527
Ba005AA008451,Adi-4,0.065,0.048
Ba005AA008598,Adi-4,0.0486,0.036
Ba005AB008745,Adi-4,0.1137,0.0312
Ba006AA008158,Adi-5,0.5168,0.1316
Ba006AA008305,Adi-5,0.5244,0.1426
Ba006AA008452,Adi-5,0.0899,0.0548
Ba006AA008599,Adi-5,0.6958,0.1857
Ba006AB009040,Adi-5,0.3162,0.0831
Ba007AA008306,Adi-7,0.0786,0.0444
Ba007AA008600,Adi-7,0.3445,0.1202
Ba007AB008747,Adi-7,0.2263,0.0626
Ba007AB009041,Adi-7,0.1656,0.0469
Ba008AA008160,Adi-8,0.5156,0.1428
Ba008AA008307,Adi-8,0.3289,0.0993
Ba008AA008454,Adi-8,0.6311,0.1613
Ba008AA008601,Adi-8,0.3618,0.1003
Ba008AB009042,Adi-8,0.2314,0.0611
ba009AA008161,Adi-9,0.0372,0.0288
Ba009AA008308,Adi-9,0.3819,0.108
Ba009AA008455,Adi-9,0.053,0.042
Ba009AB009043,Adi-9,0.1226,0.0379
Ba010AA008162,Adi-13,0.1053,0.0683
Ba010AA008309,Adi-13,0.2423,0.0822
Ba010AB008750,Adi-13,0.1756,0.0469
Ba010AB008897,Adi-13,0.298,0.0812
Ba011AA008163,Adi-14,0.3278,0.0875
Ba011AA008457,Adi-14,0.0545,0.048
Ba011AA008604,Adi-14,0.0564,0.0418
Ba011AB008898,Adi-14,0.2455,0.0626
Ba011AB009045,Adi-14,0.3414,0.0926
Ba012AA008164,Adi-15,0.0647,0.0469
Ba012AA008311,Adi-15,0.0537,0.0135
Ba012AA008458,Adi-15,0.3421,0.0909
Ba012AB009046,Adi-15,0.1833,0.0493
Ba013AA008165,Adi-17,0.1588,0.0888
Ba013AA008312,Adi-17,0.3997,0.1336
Ba013AA008459,Adi-17,0.1651,0.0823
Ba013AB009047,Adi-17,0.2331,0.0618
Ba014AA008166,Adi-18,0.0786,0.0601
Ba014AA008313,Adi-18,0.119,0.0648
Ba014AA008607,Adi-18,0.0983,0.059
Ba014AB008754,Adi-18,0.2925,0.0805
Ba015AA008314,Bis-1,0.0425,0.0322
Ba016AA008168,Gaz-2,0.1126,0.0627
Ba016AA008315,Gaz-2,0.1092,0.0529
Ba016AA008462,Gaz-2,0.0778,0.0412
Ba016AB008756,Gaz-2,0.1986,0.0501
Ba016AB009050,Gaz-2,0.2933,0.0688
Ba017AA008463,Gaz-3,0.2505,0.0761
Ba017AA008610,Gaz-3,0.377,0.1067
Ba017AAB008904,Gaz-3,0.2269,0.0528
Ba017AB008757,Gaz-3,0.2103,0.0598
Ba019AA008171,Gaz-5,0.1352,0.0747
Ba019AA008318,Gaz-5,0.3555,0.1431
Ba019AA008612,Gaz-5,0.1083,0.078
Ba019AB008906,Gaz-5,0.2293,0.0606
Ba019AB009053,Gaz-5,0.2651,0.071
Ba020AA008172,Gaz-7,0.2919,0.0776
Ba020AA008319,Gaz-7,0.1569,0.0751
Ba020AA008613,Gaz-7,0.1585,0.0694
Ba020AB009054,Gaz-7,0.2644,0.0672
Ba021AA008320,Gaz-8,0.4204,0.1218
Ba021AB008761,Gaz-8,0.1253,0.0343
Ba021AB008908,Gaz-8,0.1017,0.0268
Ba021AB009055,Gaz-8,0.2638,0.0645
Ba022AA008615,Kah-2,0.3793,0.096
Ba022AB008762,Kah-2,0.1512,0.0385
Ba022AB008909,Kah-2,0.1953,0.0491
ba024AA008176,Kah-6,0.0729,0.0531
Ba024AA008617,Kah-6,0.1103,0.0778
Ba024AB008911,Kah-6,0.1332,0.0359
Ba024AB009058,Kah-6,0.1223,0.0307
Ba025AA008324,Koz-2,0.585,0.1552
Ba025AA008618,Koz-2,0.117,0.0731
Ba025AB008912,Koz-2,0.2309,0.0594
Ba025Ab009059,Koz-2,0.3333,0.086
