"Accession" "Drought" "Heat" "Heat.Drought"
"1" "ABR12" -8.50718296853261 -1.79380178567572 -3.28130620775376
"2" "ABR14" -6.21250896435615 -35.1308037605978 -5.2803239993695
"3" "ABR2" -5.02613682249648 3.30168944565777 0.49520382548107
"4" "ABR3" -7.40035096342043 -0.885227560553853 -4.55560924610427
"5" "ABR4" -4.26192717934667 -1.7440992505927 -10.0391208283365
"6" "ABR5" -11.7762848973112 -24.8673310842447 -6.6826339055909
"7" "ABR6" -12.5582548052981 -1.71338528612838 -6.14075287885096
"8" "ABR7" -5.55434206724425 -0.506874682280408 -15.4291990856901
"9" "ABR9" -5.32646494911859 -1.30200051110995 -8.50061797574963
"10" "Adi-1" -2.6715815856469 -61.1740824572014 -2.83518180069576
"11" "Adi-13" -4.96958312413666 -14.1163530467915 -5.11681006667351
"12" "Adi-14" -6.30282022796245 -43.9251055153596 -0.999412083417999
"13" "Adi-15" -4.25935997834322 -13.6810436570086 -8.72635269439282
"14" "Adi-17" -3.10977125920145 -13.4607129550166 -2.38298789229149
"15" "Adi-18" -7.88616820204177 -46.2299936317964 -1.1948182947361
"16" "Adi-2" -2.62595919533529 -62.8309980816909 -1.80521748158709
"17" "Adi-3" -3.21985016885485 -19.3747911593388 -1.91379903506441
"18" "Adi-4" -3.87366515906997 -45.0091875780579 -10.5695165336441
"19" "Adi-5" -3.17914854605633 -14.9254693693195 1.53725964464637
"20" "Adi-7" -5.16159552065576 -16.6185468954362 -3.09520572282362
"21" "Adi-8" -4.25512151436129 1.7354113473881 -1.0045455189651
"22" "Adi-9" -7.30230153224689 -40.1101787041046 -4.81019455177796
"23" "Arc1" -7.64596768329791 -0.574034201773854 -11.3236995090727
"24" "Bd1-1" -6.34984775100555 -42.7596823427811 -2.88529483850468
"25" "Bd21-0" -4.8740466368259 -14.7764398354028 -4.85046483437085
"26" "Bd21-3" -12.6215805847579 -20.9896670251073 -3.72958380079454
"27" "BdTR10A" -1.97578624925615 -40.251927408491 -1.53247005223719
"28" "BdTR10B" -4.31283603757622 -18.5143564761553 -3.19679472987715
"29" "BdTR10D" -2.62236870925467 -21.6977026093577 -2.37474223918428
"30" "BdTR10E" -3.56229457927831 -6.86791281451648 -0.00794351387179404
"31" "BdTR10H" -4.05965991932524 -9.70029600055989 -0.889812054455446
"32" "BdTR10I" -2.29150179409326 -23.7624230478323 -1.43878749332018
"33" "BdTR10J" -10.2492806457706 -13.1922286857275 -0.932599053076512
"34" "BdTR10K" -2.26232564528693 -30.6465001664086 -0.511278803020732
"35" "BdTR10M" -5.53033155080701 -63.0764473163964 -3.83506945620023
"36" "BdTR11A" -5.81140522494943 -85.2427913685426 -14.9722186395861
"37" "BdTR11B" -4.9951176135128 -23.1045331823562 -1.67731425955261
"38" "BdTR11C" -5.05601637757102 -38.5463975239068 -5.39611221694873
"39" "BdTR11D" -4.24554598356023 -60.2873517817881 -1.4855836740811
"40" "BdTR11E" -3.40994699883963 -17.3425920553474 -1.71147058906932
"41" "BdTR11F" -5.9453450961632 -41.6099702282928 -0.787052029048841
"42" "BdTR11G" -16.7254791752275 -36.932854190384 -2.89368644418521
"43" "BdTR11H" -6.89915423088842 -48.6801953547969 -3.41714670151932
"44" "BdTR11I" -4.86387548383189 -35.5098649356329 -1.88917366403089
"45" "BdTR12A" -6.95287266289511 -30.75650345478 -46.8250030980908
"46" "BdTR12B" -3.64358744592715 -22.0101288217836 -10.1252517291017
"47" "BdTR13A" -4.64928060796215 -16.1266149884627 2.02156294340573
"48" "BdTR13B" -5.20388367749858 -25.4872207634089 1.73593939123148
